formula,phase,
AgAlCoCrCuNi,3,
AgCoCrFeMnNi,1,
Al0.02CoCrFeMnNi,1,
Al0.03CoCrFeMnNi,1,
Al0.04CoCrFeMnNi,1,
Al0.08CoCrFeMnNi,1,
Al0.09CoCrFeMnNi,2,
Al0.10CoCrFeMnNi,2,
Al0.11CoCrFeMnNi,2,
Al0.125CoCrCuFeMnNiTiV,1,
Al0.125CoCrCuFeNiTiMnV,1,
Al0.12CoCrFeMnNi,2,
Al0.14CoCrFeMnNi,2,
Al0.15CoCrFeMnNi,2,
Al0.15CrFe1.5Ni0.5,1,
Al0.16CoCrFeMnNi,2,
Al0.18CoCrFeMnNi,2,
Al0.19CoCrFeMnNi,2,
Al0.1CoCrFeMnNi,1,
Al0.1CoCrFeNi,1,
Al0.1CoFeNiSi0.1,1,
Al0.1CrFe2Mn1.25Ni0.75,3,
Al0.24NbTiVZr,3,
Al0.25CoCrCu0.75FeNi,1,
Al0.25CoCrCu0.75FeNiTi0.5,1,
Al0.25CoCrCuFeMnNiTiV,1,
Al0.25CoCrCuFeNiTiMnV,1,
Al0.25CoCrFeMnNi,2,
Al0.25CoCrFeNi,1,
Al0.25CoFeMn0.25Ni,1,
Al0.25CoFeNi,1,
Al0.25MoNbTiV,1,
Al0.25NbTaTiV,1,
Al0.2Co1.5CrFeNi1.5Ti,3,
Al0.2Co1.5CrFeNi1.5Ti0.3,2,
Al0.2Co1.5CrFeNi1.5Ti0.5,1,
Al0.2CoCrCu0.2FeNi2,3,
Al0.2CoCrFeMnNi,1,
Al0.2CoCu0.2FeNi,1,
Al0.2CoFeNiSi0.2,1,
Al0.2CrCuFeNi,1,
Al0.2CrCuFeNi2,1,
Al0.2CrFe1.5Ni0.5,1,
Al0.2CrFeCoNi2Cu0.2,2,
Al0.2MoTaTiV,1,
Al0.32CrFe2Mn1.25Ni0.75,3,
Al0.348CoCrFeNi,3,
Al0.375CoCrFeNi,1,
Al0.38CoCrFeMnNi,1,
Al0.3CoCr2FeNi,3,
Al0.3CoCrCu0.5FeNi,3,
Al0.3CoCrCuFeNi,1,
Al0.3CoCrFeMo0.1Ni,1,
Al0.3CoCrFeNi,3,
Al0.3CoCrFeNiTi0.1,1,
Al0.3CoCrFeNiTi0.2,3,
Al0.3CoCu0.7FeNi,1,
Al0.3CoFeNiSi0.3,1,
Al0.3CrCuFeMnNi,1,
Al0.3CrCuFeNi2,1,
Al0.3CrCuFeNi3,1,
Al0.3CrCuFeNi4,3,
Al0.3CrCuFeNi5,3,
Al0.3CrCuFeNi6,3,
Al0.3CrCuFeNi7,3,
Al0.3CrFe1.5MnNi,1,
Al0.3CrFe1.5MnNi0.10,3,
Al0.3CrFe1.5MnNi0.5,1,
Al0.3CrFe1.5MnNi0.5Si0.2,2,
Al0.3CrFe1.5MnNi0.5Ti0.2,1,
Al0.3CrFe1.5MnNi0.6,3,
Al0.3CrFe1.5MnNi0.7,3,
Al0.3CrFe1.5MnNi0.8,3,
Al0.3CrFe1.5MnNi0.9,1,
Al0.3CrFe1.5Ni0.5,2,
Al0.3CuCrFeNi2,1,
Al0.3HfNbTaTiZr,1,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,1,
Al0.3NbTaTi1.4Zr1.3,1,
Al0.41CoCrFeNi,1,
Al0.43CoCr0.29NiSi0.14,3,
Al0.43CoCrFeMnNi,1,
Al0.44CoCrFeNi,3,
Al0.4CoCrFeMnNiV,2,
Al0.4CoCrFeNi,1,
Al0.4CoCu0.4FeGa0.02Ni,1,
Al0.4CoCu0.4FeGa0.04Ni,1,
Al0.4CoCu0.4FeGa0.06Ni,1,
Al0.4CoCu0.4FeGa0.08Ni,1,
Al0.4CoCu0.4FeNi,1,
Al0.4CoFeNiSi0.4,1,
Al0.4CrCuFeNi,1,
Al0.4CrCuFeNi2,1,
Al0.4CrCuFeNi3,1,
Al0.4CrFe1.5Ni0.5,2,
Al0.4Hf0.6NbTaTiZr,1,
Al0.56CoCrFeMnNi,3,
Al0.56CrFe2Mn1.25Ni0.75,3,
Al0.57CoCrFeNi,3,
Al0.5B0.2CoCrCuFeNi,3,
Al0.5BCoCrCuFeNi,2,
Al0.5CoCr3Cu0.5FeNi,1,
Al0.5CoCrCu0.5Fe2Ni,1,
Al0.5CoCrCu0.5Fe3.5Ni,1,
Al0.5CoCrCu0.5Fe3Ni,1,
Al0.5CoCrCu0.5FeNi,1,
Al0.5CoCrCu0.5FeNi2,3,
Al0.5CoCrCu0.5FeNiTi0.5,1,
Al0.5CoCrCuFeNi,1,
Al0.5CoCrCuFeNiSi,3,
Al0.5CoCrCuFeNiSi0.8,3,
Al0.5CoCrCuFeNiSi1.2,3,
Al0.5CoCrCuFeNiSi1.4,3,
Al0.5CoCrCuFeNiSi1.6,3,
Al0.5CoCrCuFeNiSi1.8,3,
Al0.5CoCrCuFeNiSi2,3,
