formula,processing,phase,phase structure
AgAlCoCrCuNi,AC,SS+IM,2FCC+B2
AgCoCrFeMnNi,AC,SS,2FCC
Al0.02CoCrFeMnNi,AC,SS,FCC
Al0.03CoCrFeMnNi,AC,SS,FCC
Al0.04CoCrFeMnNi,AC,SS,FCC
Al0.08CoCrFeMnNi,AC,SS,FCC
Al0.09CoCrFeMnNi,AC,IM,BCC+FCC+B2
Al0.10CoCrFeMnNi,AC,IM,BCC+FCC+B2
Al0.11CoCrFeMnNi,AC,IM,BCC+FCC+B2
Al0.125CoCrCuFeMnNiTiV,AC,SS,BCC+FCC
Al0.125CoCrCuFeNiTiMnV,AC,SS,BCC+FCC
Al0.12CoCrFeMnNi,AC,IM,BCC+FCC+B2
Al0.14CoCrFeMnNi,AC,IM,BCC+FCC+B2
Al0.15CoCrFeMnNi,AC,IM,BCC+FCC+B2
Al0.15CrFe1.5Ni0.5,AC,SS,BCC
Al0.16CoCrFeMnNi,AC,IM,BCC+B2
Al0.18CoCrFeMnNi,AC,IM,BCC+B2
Al0.19CoCrFeMnNi,AC,IM,BCC+B2
Al0.1CoCrFeMnNi,AC,SS,FCC
Al0.1CoCrFeNi,AC,SS,FCC
Al0.1CoFeNiSi0.1,AC,SS,FCC
Al0.1CrFe2Mn1.25Ni0.75,AC,SS+IM,BCC+FCC+B2
Al0.24NbTiVZr,"AC+1400C/276MPa/2h+14
00C/6h",SS+IM,BCC+C14
Al0.25CoCrCu0.75FeNi,AC,SS,FCC
Al0.25CoCrCu0.75FeNiTi0.5,AC,SS,2FCC
Al0.25CoCrCuFeMnNiTiV,AC,SS,BCC
Al0.25CoCrCuFeNiTiMnV,AC,SS,BCC
Al0.25CoCrFeMnNi,AC,IM,BCC+B2
Al0.25CoCrFeNi,AC,SS,FCC
Al0.25CoFeMn0.25Ni,AC,SS,FCC
Al0.25CoFeNi,AC,SS,FCC
Al0.25MoNbTiV,AC,SS,BCC
Al0.25NbTaTiV,AC,SS,BCC
Al0.2Co1.5CrFeNi1.5Ti,AC,SS+IM,FCC+D024
Al0.2Co1.5CrFeNi1.5Ti0.3,AC,IM,Im
Al0.2Co1.5CrFeNi1.5Ti0.5,AC,SS,FCC
Al0.2CoCrCu0.2FeNi2,"AC+1200C/24h+CR+700C/
20h",SS+IM,FCC+L12
Al0.2CoCrFeMnNi,AC,SS,FCC
Al0.2CoCu0.2FeNi,AC,SS,FCC
Al0.2CoFeNiSi0.2,AC,SS,FCC
Al0.2CrCuFeNi,AC,SS,FCC
Al0.2CrCuFeNi2,AC,SS,FCC
Al0.2CrFe1.5Ni0.5,AC,SS,BCC
Al0.2CrFeCoNi2Cu0.2,AC,IM,Im
Al0.2MoTaTiV,AC,SS,BCC
Al0.32CrFe2Mn1.25Ni0.75,AC,SS+IM,BCC+FCC+B2
Al0.348CoCrFeNi,AC,SS+IM,FCC+BCC+B2
Al0.375CoCrFeNi,AC,SS,FCC
Al0.38CoCrFeMnNi,AC,SS,FCC
Al0.3CoCr2FeNi,AC,SS+IM,BCC+FCC+σ
Al0.3CoCrCu0.5FeNi,AC,SS+IM,FCC+L12
Al0.3CoCrCuFeNi,AC,SS,FCC
Al0.3CoCrFeMo0.1Ni,AC,SS,FCC
Al0.3CoCrFeNi,AC,SS+IM,FCC+L12
Al0.3CoCrFeNiTi0.1,AC,SS,FCC
Al0.3CoCrFeNiTi0.2,AC+700C/144h/WQ,SS+IM,FCC+B2
Al0.3CoCu0.7FeNi,AC,SS,FCC
Al0.3CoFeNiSi0.3,AC,SS,FCC+BCC
Al0.3CrCuFeMnNi,AC,SS,BCC+2FCC
Al0.3CrCuFeNi2,AC,SS,2FCC
Al0.3CrCuFeNi3,AC+CR(20%)+1000C/3h,SS,FCC
Al0.3CrCuFeNi4,"AC+CR(20%)+1000C/3h+5
50C/150h",SS+IM,FCC+L12
Al0.3CrCuFeNi5,"AC+CR(20%)+1000C/3h+7
000C/50h",SS+IM,FCC+L12
Al0.3CrCuFeNi6,"AC+CR(20%)+1000C/3h+8
000C/20h",SS+IM,FCC+L12
Al0.3CrCuFeNi7,"AC+CR(20%)+1000C/3h+9
000C/20h",SS+IM,FCC+L12
Al0.3CrFe1.5MnNi,AC,SS,BCC
Al0.3CrFe1.5MnNi0.10,AC+700C/20h,SS+IM,BCC+FCC+σ
Al0.3CrFe1.5MnNi0.5,AC,SS,BCC+FCC
Al0.3CrFe1.5MnNi0.5Si0.2,AC,IM,Im
Al0.3CrFe1.5MnNi0.5Ti0.2,AC,SS,BCC
Al0.3CrFe1.5MnNi0.6,AC,SS+IM,BCC+FCC+B2
Al0.3CrFe1.5MnNi0.7,AC+1100C/2h/FC,SS+IM,BCC+FCC+B2
Al0.3CrFe1.5MnNi0.8,AC+700C/20h/FC,SS+IM,BCC+FCC+IM
Al0.3CrFe1.5MnNi0.9,AC,SS,BCC+FCC
